1929-04-01	一九二九 己巳[蛇]年 二月大廿二	周一	无	无	国际愚人节	己巳 丁卯 丙子 癸巳	无	清明 (4, 5)	蛇	白羊座	诸事不宜	诸事不宜
1929-04-02	一九二九 己巳[蛇]年 二月大廿三	周二	无	无	国际儿童图书日	己巳 丁卯 丁丑 乙巳	无	清明 (4, 5)	蛇	白羊座	结婚姻、宴会、嫁娶、修造、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、解除、纳畜、出师、招贤、选将、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福	剃头、冠带、伐木、畋猎、整容、补垣、取鱼、鼓铸、塞穴、整手足甲、乘船渡水
1929-04-03	一九二九 己巳[蛇]年 二月大廿四	周三	无	无	无	己巳 丁卯 戊寅 丁巳	无	清明 (4, 5)	蛇	白羊座	经络、纳财、栽种、牧养、破土、安葬、补垣、裁制、立券交易、修仓库、恤孤茕、纳畜、筑堤防、覃恩、酝酿、雪冤、缮城郭、塞穴	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、畋猎、庆赐、临政、搬移、开仓、纳采、颁诏、解除、出师、招贤、布政事、选将、举正直、针刺、求嗣、营建、施恩、取鱼、宣政事、安抚边境、上册、远回、修宫室、疗目、祈福
1929-04-04	一九二九 己巳[蛇]年 二月大廿五	周四	无	无	无	己巳 丁卯 己卯 己巳	无	清明 (4, 5)	蛇	白羊座	出行、宴会、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、赴任、颁诏、入宅、恤孤茕、纳畜、招贤、举正直、覃恩、酝酿、雪冤、施恩、宣政事、立券交易	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、开仓、整容、筑堤防、补垣、取鱼、修饰垣墙、苫盖、整手足甲、乘船渡水
1929-04-05	一九二九 己巳[蛇]年 二月大廿六	周五	清明节	无	无	己巳 戊辰 庚辰 辛巳	清明	谷雨 (4, 20)	蛇	白羊座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1929-04-06	一九二九 己巳[蛇]年 二月大廿七	周六	无	无	无	己巳 戊辰 辛巳 癸巳	无	谷雨 (4, 20)	蛇	白羊座	沐浴、扫舍宇、恤孤茕、覃恩、雪冤	出行、结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、安葬、启攒、补垣、搬移、裁制、纳采、修仓库、鼓铸、颁诏、招贤、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
1929-04-07	一九二九 己巳[蛇]年 二月大廿八	周日	无	无	世界卫生日	己巳 戊辰 壬午 乙巳	无	谷雨 (4, 20)	蛇	白羊座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、整容、筑堤防、取鱼、修饰垣墙、鼓铸、苫盖、整手足甲、入宅
1929-04-08	一九二九 己巳[蛇]年 二月大廿九	周一	无	无	无	己巳 戊辰 癸未 丁巳	无	谷雨 (4, 20)	蛇	白羊座	诸事不宜	诸事不宜
1929-04-09	一九二九 己巳[蛇]年 二月大三十	周二	无	无	无	己巳 戊辰 甲申 己巳	无	谷雨 (4, 20)	蛇	白羊座	沐浴、扫舍宇、入宅	出行、安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、启攒、补垣、开仓、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、安抚边境、施恩、修饰垣墙、宣政事、取鱼、塞穴、远回、祈福
1929-04-10	一九二九 己巳[蛇]年 三月小初一	周三	无	二殿楚江王诞	无	己巳 戊辰 乙酉 辛巳	无	谷雨 (4, 20)	蛇	白羊座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、捕捉、栽种、牧养、安葬、临政、搬移、裁制、纳采、修仓库、颁诏、恤孤茕、纳畜、解除、招贤、整容、选将、覃恩、酝酿、举正直、求嗣、雪冤、营建、缮城郭、取鱼、安抚边境、施恩、宣政事、上册、整手足甲、立券交易、祈福	宴会、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、开仓、筑堤防、补垣、修饰垣墙、修宫室、乘船渡水、出师
1929-04-11	一九二九 己巳[蛇]年 三月小初二	周四	无	无	无	己巳 戊辰 丙戌 癸巳	无	谷雨 (4, 20)	蛇	白羊座	祭祀、沐浴、求医疗病、破屋坏垣、解除	冠带、修置产室、开渠、穿井、安碓硙、伐木、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、布政事、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴
1929-04-12	一九二九 己巳[蛇]年 三月小初三	周五	无	三月三-玄天上帝诞	无	己巳 戊辰 丁亥 乙巳	无	谷雨 (4, 20)	蛇	白羊座	祭祀、宴会、安床、沐浴、上表章、上官、竖柱上梁、纳财、栽种、牧养、庆赐、临政、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室	嫁娶、剃头、畋猎、破土、启攒、整容、取鱼
1929-04-13	一九二九 己巳[蛇]年 三月小初四	周六	无	无	无	己巳 戊辰 戊子 丁巳	无	谷雨 (4, 20)	蛇	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、修造、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、庆赐、临政、裁制、纳采、立券交易、修仓库、赴任、纳畜、出师、筑堤防、选将、举正直、酝酿、缮城郭、安抚边境、施恩、修宫室、祈福、诉讼	破土、启攒、远回
1929-04-14	一九二九 己巳[蛇]年 三月小初五	周日	无	无	无	己巳 戊辰 己丑 己巳	无	谷雨 (4, 20)	蛇	白羊座	进人口、纳财、捕捉、取鱼、纳畜、赴任、入宅	结婚姻、宴会、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、裁制、开仓、修仓库、鼓铸、颁诏、乘船渡水、解除、招贤、布政事、筑堤防、举正直、营建、缮城郭、施恩、宣政事、上册、修宫室
1929-04-15	一九二九 己巳[蛇]年 三月小初六	周一	无	无	无	己巳 戊辰 庚寅 辛巳	无	谷雨 (4, 20)	蛇	白羊座	出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、颁诏、恤孤茕、解除、招贤、选将、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福	祭祀、嫁娶、伐木、畋猎、取鱼、整手足甲、针刺、乘船渡水
1929-04-16	一九二九 己巳[蛇]年 三月小初七	周二	无	无	无	己巳 戊辰 辛卯 癸巳	无	谷雨 (4, 20)	蛇	白羊座	补垣、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福
1929-04-17	一九二九 己巳[蛇]年 三月小初八	周三	无	六殿卞城王诞	无	己巳 戊辰 壬辰 乙巳	无	谷雨 (4, 20)	蛇	白羊座	祭祀、恤孤茕、覃恩、雪冤	安床、剃头、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、开仓、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲
